#NTIMES: 200
#NSTAGES: 5
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] c0 c1 c2 c3 c4
4.4010e+02 7.3127e-30 1.8745e-21 2.4249e-13 2.7216e-06 1.0000e+00
8.8623e+02 3.8217e-22 1.1521e-15 1.7528e-09 2.3136e-04 9.9977e-01
9.0614e+02 3.8149e-22 1.1506e-15 1.7512e-09 2.3126e-04 9.9977e-01
9.4442e+02 3.8150e-22 1.1506e-15 1.7512e-09 2.3126e-04 9.9977e-01
9.9911e+02 3.8104e-22 1.1494e-15 1.7498e-09 2.3115e-04 9.9977e-01
1.0608e+03 3.7899e-22 1.1443e-15 1.7439e-09 2.3072e-04 9.9977e-01
1.1257e+03 3.7618e-22 1.1363e-15 1.7331e-09 2.2983e-04 9.9977e-01
1.1944e+03 3.6324e-22 1.1013e-15 1.6884e-09 2.2629e-04 9.9977e-01
1.2673e+03 3.1321e-22 9.6574e-16 1.5146e-09 2.1222e-04 9.9979e-01
1.3448e+03 1.6905e-22 5.6166e-16 9.7106e-10 1.6330e-04 9.9984e-01
1.4269e+03 5.1351e-23 1.9787e-16 4.1397e-10 9.8665e-05 9.9990e-01
1.5140e+03 1.4514e-23 6.6357e-17 1.7176e-10 5.8752e-05 9.9994e-01
1.6065e+03 4.9614e-24 2.6659e-17 8.3777e-11 3.8648e-05 9.9996e-01
1.7047e+03 1.9903e-24 1.2258e-17 4.5494e-11 2.7026e-05 9.9997e-01
1.8088e+03 7.6497e-25 5.4473e-18 2.4164e-11 1.8662e-05 9.9998e-01
1.9193e+03 2.6491e-25 2.2393e-18 1.2230e-11 1.2586e-05 9.9999e-01
2.0365e+03 8.5414e-26 8.7344e-19 6.0078e-12 8.3791e-06 9.9999e-01
2.1609e+03 2.5835e-26 3.2623e-19 2.8925e-12 5.5518e-06 9.9999e-01
2.2929e+03 7.3909e-27 1.1766e-19 1.3749e-12 3.6824e-06 1.0000e+00
2.4330e+03 2.2309e-27 4.4385e-20 6.7887e-13 2.5072e-06 1.0000e+00
2.5816e+03 8.0574e-28 1.9361e-20 3.7364e-13 1.8196e-06 1.0000e+00
2.7393e+03 3.6334e-28 1.0150e-20 2.3575e-13 1.4275e-06 1.0000e+00
2.9067e+03 1.9805e-28 6.2545e-21 1.6784e-13 1.1977e-06 1.0000e+00
3.0842e+03 1.2496e-28 4.3948e-21 1.3209e-13 1.0612e-06 1.0000e+00
3.2726e+03 9.4666e-29 3.6195e-21 1.1700e-13 1.0011e-06 1.0000e+00
3.4725e+03 8.5707e-29 3.4663e-21 1.1580e-13 1.0025e-06 1.0000e+00
3.6846e+03 8.7082e-29 3.6887e-21 1.2457e-13 1.0540e-06 1.0000e+00
